Category In English,User_Id,Mer_Name,Cluster
Grocery,3194,Saraswati Fabrics,1
Grocery,3204,Saraswati Fabrics,1
Grocery,3219,Saraswati Fabrics,1
Grocery,3224,Saraswati Fabrics,1
Grocery,3226,Saraswati Fabrics,1
Grocery,3240,Saraswati Fabrics,1
Grocery,3242,Saraswati Fabrics,1
Grocery,3253,Saraswati Fabrics,1
Grocery,3257,Saraswati Fabrics,1
Grocery,3268,Saraswati Fabrics,1
Grocery,3271,Saraswati Fabrics,1
Grocery,3282,Saraswati Fabrics,1
Grocery,3296,Saraswati Fabrics,1
Grocery,3301,Saraswati Fabrics,1
Grocery,3317,Saraswati Fabrics,1
Grocery,3320,Saraswati Fabrics,1
Grocery,3321,Saraswati Fabrics,1
Grocery,3342,Saraswati Fabrics,1
Grocery,3348,Saraswati Fabrics,1
Grocery,3350,Saraswati Fabrics,1
Grocery,3353,Saraswati Fabrics,1
Grocery,3369,Saraswati Fabrics,1
Grocery,3373,Saraswati Fabrics,1
Grocery,3380,Saraswati Fabrics,1
Grocery,3387,Saraswati Fabrics,1
Grocery,3389,Saraswati Fabrics,1
Grocery,3393,Saraswati Fabrics,1
Grocery,3397,Saraswati Fabrics,1
Grocery,3409,Saraswati Fabrics,1
Grocery,3413,Saraswati Fabrics,1
Grocery,3418,Saraswati Fabrics,1
Grocery,3421,Saraswati Fabrics,1
Grocery,3421,Saraswati Fabrics,1
Grocery,3439,Saraswati Fabrics,1
Grocery,3453,Saraswati Fabrics,1
Grocery,3456,Saraswati Fabrics,1
Grocery,3465,Saraswati Fabrics,1
Grocery,3469,Saraswati Fabrics,1
Grocery,3472,Saraswati Fabrics,1
Grocery,3473,Saraswati Fabrics,1
Grocery,3480,Saraswati Fabrics,1
Grocery,3480,Saraswati Fabrics,1
Grocery,3482,Saraswati Fabrics,1
Grocery,3487,Saraswati Fabrics,1
Grocery,3487,Saraswati Fabrics,1
Grocery,3489,Saraswati Fabrics,1
Grocery,3490,Saraswati Fabrics,1
Grocery,3491,Saraswati Fabrics,1
Grocery,3492,Saraswati Fabrics,1
Grocery,3496,Saraswati Fabrics,1
Grocery,3499,Saraswati Fabrics,1
Grocery,3502,Saraswati Fabrics,1
Grocery,3505,Saraswati Fabrics,1
Grocery,3506,Saraswati Fabrics,1
Grocery,3507,Saraswati Fabrics,1
Grocery,3509,Saraswati Fabrics,1
Grocery,3512,Saraswati Fabrics,1
Grocery,3519,Saraswati Fabrics,1
Grocery,3528,Saraswati Fabrics,1
Grocery,3532,Saraswati Fabrics,1
Grocery,3537,Saraswati Fabrics,1
Grocery,3541,Saraswati Fabrics,1
Grocery,3541,Saraswati Fabrics,1
Grocery,3544,Saraswati Fabrics,1
Grocery,3547,Saraswati Fabrics,1
Grocery,3548,Saraswati Fabrics,1
